iteration,utility,type,mean,std
0,health,subjective,0.07320000000000002,0.013872774688252544
1,health,subjective,0.07428571428571427,0.013401187885209801
2,health,subjective,0.0724,0.014547431220048474
3,health,subjective,0.07440000000000001,0.013055110814058492
4,health,subjective,0.07057142857142856,0.012185638921220642
5,health,subjective,0.07325714285714291,0.014168202397752286
6,health,subjective,0.07159999999999998,0.01311686871543507
7,health,subjective,0.07262857142857142,0.013886890014892263
8,health,subjective,0.06994285714285717,0.014616066083426898
9,health,subjective,0.07302857142857148,0.01253449118982319
10,health,subjective,0.0702857142857143,0.016030583016120616
11,health,subjective,0.06817142857142859,0.013431732150822122
12,health,subjective,0.0713714285714286,0.014955607780415768
13,health,subjective,0.07291428571428571,0.013835653440385426
14,health,subjective,0.07400000000000002,0.01326342215821161
15,health,subjective,0.07274285714285714,0.013026942254028612
16,health,subjective,0.07205714285714286,0.01307797650203407
17,health,subjective,0.07120000000000001,0.01311599739841016
18,health,subjective,0.07354285714285717,0.01329489698020582
19,health,subjective,0.07234285714285717,0.01338216906856254
20,health,subjective,0.07022857142857145,0.013062987125962471
21,health,subjective,0.07320000000000002,0.01363536817640516
22,health,subjective,0.07234285714285715,0.015422644364170294
23,health,subjective,0.07268571428571431,0.013107530161658058
24,health,subjective,0.0749714285714286,0.013553341330627284
25,health,subjective,0.07131428571428573,0.014147445143262893
26,health,subjective,0.07451428571428573,0.014700714962482726
27,health,subjective,0.07502857142857143,0.012996828498537952
28,health,subjective,0.07171428571428567,0.014005829690029881
29,health,subjective,0.0717142857142857,0.013189358728667193
30,health,subjective,0.07171428571428573,0.013507367604083219
31,health,subjective,0.07337142857142856,0.01415298338780592
32,health,subjective,0.07382857142857142,0.015219321768792485
33,health,subjective,0.07171428571428572,0.014075597642004119
34,health,subjective,0.07142857142857145,0.014376852143324723
35,health,subjective,0.07245714285714284,0.014430806050436203
36,health,subjective,0.0724,0.015162897789926414
37,health,subjective,0.07194285714285714,0.014968702041804649
38,health,subjective,0.0730285714285714,0.012817844704050008
39,health,subjective,0.0745142857142857,0.012569350477593165
40,health,subjective,0.07234285714285715,0.013333278911453564
41,health,subjective,0.07657142857142857,0.01577391284781973
42,health,subjective,0.07320000000000004,0.013221997749576121
43,health,subjective,0.07188571428571428,0.012627924999615674
44,health,subjective,0.07360000000000001,0.012289833196589772
45,health,subjective,0.07342857142857144,0.015234225699163757
46,health,subjective,0.07085714285714291,0.013903457212110214
47,health,subjective,0.07062857142857144,0.013750428564749747
48,health,subjective,0.07697142857142858,0.01393758682593986
49,health,subjective,0.0722857142857143,0.015489298478205486
50,health,subjective,0.07434285714285718,0.014331241739497616
