iteration,utility,type,mean,std
0,health,subjective,0.0773714285714286,0.015532349389291381
1,health,subjective,0.0734857142857143,0.015162144051713075
2,health,subjective,0.07577142857142859,0.014424921744915605
3,health,subjective,0.0756,0.013225948521210656
4,health,subjective,0.07594285714285717,0.01381616917282953
5,health,subjective,0.07474285714285715,0.01382526524822123
6,health,subjective,0.07222857142857145,0.014934305119012238
7,health,subjective,0.07651428571428573,0.012332667751851226
8,health,subjective,0.07537142857142859,0.014267302420827391
9,health,subjective,0.07428571428571427,0.014680265804188724
10,health,subjective,0.07268571428571427,0.012625338952815065
11,health,subjective,0.07462857142857143,0.012488558028557707
12,health,subjective,0.07600000000000004,0.01374995361773253
13,health,subjective,0.07525714285714283,0.01418375040354998
14,health,subjective,0.07542857142857144,0.015053645568365134
15,health,subjective,0.0734857142857143,0.014945233353815526
16,health,subjective,0.07605714285714286,0.013221997749576117
17,health,subjective,0.07417142857142861,0.014612938074996201
18,health,subjective,0.07640000000000004,0.014243480427686125
19,health,subjective,0.07262857142857143,0.013910383729797107
20,health,subjective,0.07382857142857147,0.01314732843196515
21,health,subjective,0.07634285714285717,0.013093572188408377
22,health,subjective,0.0745714285714286,0.013723211381168944
23,health,subjective,0.07645714285714286,0.014015268641807792
24,health,subjective,0.07388571428571428,0.012809562754410619
25,health,subjective,0.07417142857142861,0.01431950289868005
26,health,subjective,0.07674285714285717,0.014574341445548361
27,health,subjective,0.07377142857142854,0.013975956029509238
28,health,subjective,0.07525714285714287,0.012363342788176634
29,health,subjective,0.07531428571428571,0.014098892705110002
30,health,subjective,0.07565714285714288,0.01512117045464297
31,health,subjective,0.07760000000000003,0.01430124869672975
32,health,subjective,0.07422857142857144,0.014489855705539205
33,health,subjective,0.07588571428571429,0.014321783038007355
34,health,subjective,0.07365714285714291,0.014110815073581561
35,health,subjective,0.07571428571428573,0.013699396679699258
36,health,subjective,0.07451428571428576,0.012851935453384417
37,health,subjective,0.07645714285714286,0.014292112852756183
38,health,subjective,0.07817142857142861,0.013639797712306924
39,health,subjective,0.07560000000000003,0.015562487603470194
40,health,subjective,0.07588571428571429,0.013881833672914005
41,health,subjective,0.07605714285714289,0.014471816381773063
42,health,subjective,0.07520000000000003,0.014083598797964988
43,health,subjective,0.07548571428571431,0.01372130772609833
44,health,subjective,0.07565714285714287,0.013476994759778689
45,health,subjective,0.07542857142857143,0.015075321095169052
46,health,subjective,0.07377142857142857,0.013835063411196818
47,health,subjective,0.07422857142857145,0.015491827997169274
48,health,subjective,0.07651428571428574,0.014408500892153347
49,health,subjective,0.07542857142857147,0.013666583706401596
50,health,subjective,0.07491428571428575,0.013300790217433077
51,health,subjective,0.07674285714285714,0.014439288806048936
52,health,subjective,0.07731428571428568,0.01278915356775388
53,health,subjective,0.0757714285714286,0.015131963736759766
54,health,subjective,0.07697142857142857,0.013914139042934797
55,health,subjective,0.07634285714285718,0.015151372268961414
56,health,subjective,0.07645714285714289,0.012382476096714834
57,health,subjective,0.07742857142857146,0.015425925699077811
58,health,subjective,0.07594285714285717,0.014073741651800798
59,health,subjective,0.07594285714285715,0.013649729009794165
60,health,subjective,0.0778857142857143,0.01281975516337889
61,health,subjective,0.07405714285714286,0.014986687970546756
62,health,subjective,0.0745714285714286,0.01268455593167035
63,health,subjective,0.07440000000000004,0.013546111724666346
64,health,subjective,0.07428571428571429,0.013180071536766624
65,health,subjective,0.07462857142857145,0.015582721985898228
66,health,subjective,0.07754285714285716,0.01348026524295454
67,health,subjective,0.07382857142857145,0.014175114727966773
68,health,subjective,0.07531428571428572,0.013065111666462818
69,health,subjective,0.07674285714285714,0.014730337984678337
70,health,subjective,0.07388571428571432,0.014484446267409384
71,health,subjective,0.07525714285714286,0.015227365269843116
72,health,subjective,0.07720000000000002,0.01469127187781082
73,health,subjective,0.07565714285714284,0.014139133708994217
74,health,subjective,0.07748571428571427,0.012708859195097583
75,health,subjective,0.07817142857142854,0.01387712844494678
76,health,subjective,0.07662857142857145,0.015483394660218466
77,health,subjective,0.07611428571428575,0.01256831130182539
78,health,subjective,0.07720000000000002,0.013797249060325503
79,health,subjective,0.07474285714285717,0.014894020166989633
80,health,subjective,0.07537142857142858,0.013730823362205262
